Date,Open,High,Low,Close,Volume
2021/01/05,64.2,64.5,62.8,63,1856
2021/01/04,64.9,65.1,63.7,64.2,1519
2020/12/31,64.1,65.5,63.4,64.9,1672
2020/12/30,64.9,64.9,63.2,63.8,1151
2020/12/29,65.3,65.5,64.1,64.4,1323
2020/12/28,64.9,65.2,64.1,64.8,1496
2020/12/25,66.2,66.5,64.3,64.7,2454
2020/12/24,65,66.7,64.7,65.8,5535
2020/12/23,62,65,61.2,64.7,4101
2020/12/22,61.8,63.1,61,61,1802
2020/12/21,63.3,63.6,61.5,62.3,1816
2020/12/18,64.3,64.8,63.2,63.2,1247
2020/12/17,65.4,65.4,63.8,64.3,1381
2020/12/16,64.5,64.7,63.8,64.1,1720
2020/12/15,65.3,65.7,63,63.4,3803
2020/12/14,63.3,64.3,62.6,63.8,1921
2020/12/11,65.6,66.2,63.1,63.3,3940
2020/12/10,65.5,67,64.5,65.3,8583
2020/12/09,63.7,64.6,63.3,63.9,2973
2020/12/08,61.8,63.7,61.5,63.7,4170
2020/12/07,62.6,62.7,61.4,61.8,3364
2020/12/04,63.4,63.9,62.2,62.6,5397
2020/12/03,66.4,66.9,63.5,63.8,8689
2020/12/02,69.6,69.6,65.8,66.2,8130
2020/12/01,71,71.5,69.1,69.1,4203
2020/11/30,70,72,69.4,70.5,7387
2020/11/27,70,71.8,69.1,69.5,5679
2020/11/26,69.8,70.6,69.3,69.4,2023
2020/11/25,71.5,71.6,69.3,69.7,3261
2020/11/24,71.5,72.3,70,70.4,4448
2020/11/23,70.5,71.7,69.7,71.5,5994
2020/11/20,68.5,70.6,68.4,69.6,4950
2020/11/19,69.5,72,68.7,68.8,9202
2020/11/18,68.4,69.9,68.1,69.8,3032
2020/11/17,69,69.6,68,68.4,2690
2020/11/16,69.6,70.6,68.6,68.7,5293
2020/11/13,69.1,69.7,68.4,69.1,4066
2020/11/12,68.7,69.8,67.6,68,4589
2020/11/11,68.6,69.5,67.6,67.9,4609
2020/11/10,69.4,70.3,67.2,68.1,7501
2020/11/09,68,69.9,67.7,68.9,6925
2020/11/06,66.7,70.9,66.5,67.7,10156
2020/11/05,66.3,67.6,66.1,66.3,2374
2020/11/04,65.3,67.2,64.7,66.8,3090
2020/11/03,65,66.5,64.4,65,2898
2020/11/02,64.3,64.8,63.2,64.4,2128
2020/10/30,65.3,65.5,63.8,64,2962
2020/10/29,64.3,65.7,63.7,65,3689
2020/10/28,67.5,68.3,65.8,66.2,4183
2020/10/27,66.2,68,65.6,68,4384
2020/10/26,69.2,69.9,66.9,66.9,4705
2020/10/23,68.6,69.9,68.2,69.4,3634
2020/10/22,69.7,70.5,67.5,68.4,9795
2020/10/21,73,78,69.5,69.5,32866
2020/10/20,70,71.3,69.8,71,4262
2020/10/19,69.1,70.5,68.3,70.1,4617
2020/10/16,68.5,70.4,67.2,68.6,7616
2020/10/15,71.4,72.8,68.5,68.5,8020
2020/10/14,70.7,72,69.3,71.9,8497
2020/10/13,68.6,71.9,68,70.2,10504
2020/10/12,69.7,70.3,68,68,3644
2020/10/08,70.1,70.4,68,68.9,7451
2020/10/07,66.2,69.8,65.7,69.5,6812
2020/10/06,66.5,68.4,66,66.4,5108
2020/10/05,64.5,67,64.2,66.7,4746
2020/09/30,63.4,65.2,61,65.2,6954
2020/09/29,65.7,66.6,62.8,63.7,5915
2020/09/28,66.6,66.7,64.3,65.2,4787
2020/09/25,68.6,69.2,63.1,65,9428
2020/09/24,70.4,72.6,68,68,12251
2020/09/23,69.6,72.3,67.8,71.9,12987
2020/09/22,70.9,71.2,68.6,68.6,5673
2020/09/21,70.3,72.4,68.2,71.2,9521
2020/09/18,72,73.7,70.5,70.6,7951
2020/09/17,70,74.5,70,71.1,16430
2020/09/16,67.1,72.3,66.9,70.3,9850
2020/09/15,68.3,69.3,66.8,66.8,3411
2020/09/14,68.3,69.4,65.4,68.1,4481
2020/09/11,70.2,71.3,64.9,66.6,9987
2020/09/10,72,73.2,69.5,69.5,9097
