Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2020/12/15,42.7,42.8,42.5,42.5,"13,683",,,,,,,,,,,
2020/12/14,42.9,42.9,42.7,42.8,"9,351",,,,,,,,,,,
2020/12/11,43.25,43.45,42.85,42.9,"15,582",,,,,,,,,,,
2020/12/10,43.25,43.45,43.15,43.25,"12,939",,,,,,,,,,,
2020/12/09,43.55,43.65,43.35,43.35,"12,638",,,,,,,,,,,
2020/12/08,43.3,43.7,43.2,43.6,"15,203",,,,,,,,,,,
2020/12/07,43.7,43.8,43.35,43.55,"11,558",,,,,,,,,,,
2020/12/04,43.9,43.95,43.5,43.65,"18,307",,,,,,,,,,,
2020/12/03,43.65,44.05,43.5,43.5,"30,508",,,,,,,,,,,
2020/12/02,43.15,43.2,43,43.2,"14,541",,,,,,,,,,,
2020/12/01,42.8,43.15,42.7,43.15,"10,053",,,,,,,,,,,
2020/11/30,43.35,43.6,42.9,42.9,"35,794",,,,,,,,,,,
2020/11/27,43,43.35,42.85,43.3,"19,082",,,,,,,,,,,
2020/11/26,42.7,43.05,42.65,42.95,"11,145",,,,,,,,,,,
2020/11/25,42.9,43.05,42.6,42.6,"12,104",,,,,,,,,,,
2020/11/24,43.05,43.15,42.75,42.75,"11,772",,,,,,,,,,,
2020/11/23,42.9,43.05,42.7,43,"15,854",,,,,,,,,,,
2020/11/20,42.75,42.8,42.5,42.7,"15,549",,,,,,,,,,,
2020/11/19,42.65,43,42.65,42.9,"14,887",,,,,,,,,,,
2020/11/18,42.95,43,42.65,42.7,"21,092",,,,,,,,,,,
2020/11/17,42.6,42.75,42.35,42.75,"15,887",,,,,,,,,,,
2020/11/16,42.45,42.6,42.2,42.35,"13,961",,,,,,,,,,,
2020/11/13,42.35,42.4,42.2,42.25,"10,711",,,,,,,,,,,
2020/11/12,42.85,42.9,42.25,42.4,"22,898",,,,,,,,,,,
2020/11/11,41.9,42.95,41.8,42.65,"40,232",,,,,,,,,,,
2020/11/10,41.15,41.55,41.05,41.55,"21,551",,,,,,,,,,,
2020/11/09,41.25,41.3,41,41.15,"11,700",,,,,,,,,,,
2020/11/06,41.05,41.1,40.75,40.85,"10,399",,,,,,,,,,,
2020/11/05,41,41.15,40.85,41.05,"11,420",,,,,,,,,,,
2020/11/04,40.85,41,40.75,40.9,"8,282",,,,,,,,,,,
2020/11/03,40.7,40.95,40.6,40.95,"7,063",,,,,,,,,,,
2020/11/02,40.45,40.6,40.45,40.6,"4,547",,,,,,,,,,,
2020/10/30,40.35,40.6,40.3,40.55,"8,723",,,,,,,,,,,
2020/10/29,40.35,40.55,40.2,40.35,"9,421",,,,,,,,,,,
2020/10/28,40.5,40.7,40.5,40.55,"8,197",,,,,,,,,,,
2020/10/27,40.4,40.6,40.35,40.5,"11,560",,,,,,,,,,,
2020/10/26,40.6,40.85,40.5,40.5,"9,110",,,,,,,,,,,
2020/10/23,41.05,41.1,40.55,40.65,"7,145",,,,,,,,,,,
2020/10/22,40.3,41,40.3,41,"7,830",,,,,,,,,,,
2020/10/21,40.5,40.6,40.3,40.3,"10,476",,,,,,,,,,,
2020/10/20,40.5,40.6,40.2,40.35,"10,707",,,,,,,,,,,
2020/10/19,40.6,40.75,40.45,40.45,"7,310",,,,,,,,,,,
2020/10/16,40.25,40.5,40.25,40.3,"8,051",,,,,,,,,,,
2020/10/15,40.45,40.45,40.15,40.3,"13,255",,,,,,,,,,,
2020/10/14,40.75,40.95,40.5,40.5,"11,459",,,,,,,,,,,
2020/10/13,40.75,40.9,40.35,40.5,"10,830",,,,,,,,,,,
2020/10/12,41.15,41.3,40.7,40.95,"12,889",,,,,,,,,,,
2020/10/08,41.3,41.35,40.95,41.15,"11,267",,,,,,,,,,,
2020/10/07,41.45,41.5,41,41.15,"13,510",,,,,,,,,,,
2020/10/06,41.3,41.45,41.15,41.4,"7,880",,,,,,,,,,,
2020/10/05,41.5,41.65,41,41,"8,847",,,,,,,,,,,
2020/09/30,41.6,41.8,41.25,41.4,"13,689",,,,,,,,,,,
2020/09/29,41.2,41.6,41,41.2,"17,122",,,,,,,,,,,
2020/09/28,40.75,40.95,40.65,40.95,"10,460",,,,,,,,,,,
2020/09/25,40.5,40.75,40.2,40.55,"16,090",,,,,,,,,,,
2020/09/24,40.4,40.5,40,40.05,"33,370",,,,,,,,,,,
2020/09/23,41.8,41.8,40.9,41,"34,750",,,,,,,,,,,
2020/09/22,42.15,42.15,41.6,41.8,"19,688",,,,,,,,,,,
2020/09/21,42.35,42.5,42.2,42.25,"9,245",,,,,,,,,,,
2020/09/18,42.55,42.65,42.35,42.5,"13,180",,,,,,,,,,,
2020/09/17,42.85,43,42.45,42.55,"11,453",,,,,,,,,,,
2020/09/16,42.65,42.9,42.6,42.85,"14,843",,,,,,,,,,,
